,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
126,02M550,Liberty High School Academy for Newcomers,91,349,382,7.7,6.3,7.1,7.5
127,02M551,New York Harbor School,71,276,389,6.8,6,6.7,7.4
128,02M560,High School M560 - City As School,41,199,487,8.6,7.2,7.9,8.5
129,02M565,Urban Academy Laboratory High School,99,153,154,9.1,8.3,8.7,9.3
130,02M570,Satellite Academy High School,54,99,184,8.1,7.1,7.8,7.9
131,02M575,Manhattan Comprehensive Night and Day High School,92,677,735,8.7,6.8,8.1,8.3
132,02M580,Richard R. Green High School of Teaching,93,519,558,6.6,5.7,6.4,7
133,02M586,Harvey Milk High School,64,39,61,7.4,6.9,7.6,8
134,02M600,The High School of Fashion Industries,94,1495,1592,6.5,5.6,6.5,7.3
135,02M605,Humanities Preparatory Academy,71,129,182,7,6.7,6.6,7.3
136,02M615,Chelsea Career and Technical Education High School,97,468,482,6.5,5.8,6.3,7.3
137,02M620,Norman Thomas High School,23,368,1608,6.2,5.6,6.1,6.8
138,02M625,High School of Graphic Communication Arts,75,1192,1599,5.7,5.4,5.7,6.5
139,02M630,Art and Design High School,83,1019,1230,6.7,5.9,6.5,7.2
140,02M655,Life Sciences Secondary School,73,474,645,5.9,5.7,6.4,6.9
141,02M896,Lower Manhattan Community Middle School,97,234,241,7,6.6,7,7.7
142,03M009,P.S. 009 Sarah Anderson,,,0,,,,
143,03M044,J.H.S. M044 William J. O'Shea,97,61,63,7.3,6.3,7.3,8
144,03M054,J.H.S. 054 Booker T. Washington,96,804,839,7.5,6.5,7.5,7.9
145,03M075,P.S. 075 Emily Dickinson,,,0,,,,
146,03M076,P.S. 076 A. Philip Randolph,96,101,105,7.9,7.1,8.4,8.9
147,03M084,P.S. 084 Lillian Weber,,,0,,,,
148,03M087,P.S. 087 William Sherman,,,0,,,,
149,03M145,"P.S. 145, The Bloomingdale School",,,0,,,,
150,03M149,P.S. 149 Sojourner Truth,98,104,106,6.2,6,6.7,7.6
151,03M163,P.S. 163 Alfred E. Smith,,,0,,,,
152,03M165,P.S. 165 Robert E. Simon,83,135,163,7,6.6,6.9,7.9
153,03M166,P.S. 166 The Richard Rodgers School of The Arts an,,,0,,,,
154,03M180,P.S. 180 Hugo Newman,100,80,80,7.8,6.5,7.9,8
155,03M185,P.S. 185 John M. Langston,,,0,,,,
156,03M191,P.S. 191 Amsterdam,88,159,181,6.3,6.5,6.7,7.8
157,03M199,P.S. 199 Jessie Isador Straus,,,0,,,,
158,03M208,P.S. 208 Alain L. Locke,,,0,,,,
159,03M241,P.S. 241 Family Academy,76,31,41,7.7,8.2,8,8.3
160,03M242,PS M242-Gwendolyn Powell Brown Computer School,,,0,,,,
161,03M243,M.S. 243 Center School,99,155,157,8.4,7.4,8.5,8.2
162,03M245,M.S. M245 The Computer School,92,367,401,7.9,6.9,7.7,8.3
163,03M247,M.S. M247 Dual Language Middle School,94,186,198,8.7,8,8.6,9.1
164,03M250,M.S. 250 West Side Collaborative Middle School,97,175,181,7.9,7.1,7.7,8.2
165,03M256,M.S. 256 Academic & Athletic Excellence,82,134,163,6.8,6.8,6.6,7.8
