,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
741,14K454,Green School: An Academy for Environmental Careers,64,210,330,6.8,6.4,7.1,7.9
742,14K474,PROGRESS High School for Professional Careers,87,798,918,6.4,5.6,6.4,7.2
743,14K477,School for Legal Studies,50,370,745,5.4,5.6,5.7,6.7
744,14K478,"The High School for Enterprise, Business and Techn",76,689,912,6,5.6,6.1,6.9
745,14K488,Brooklyn Preparatory High School,83,305,366,6.4,6.1,6.4,7.3
746,14K558,Williamsburg High School for Architecture and Desi,96,400,417,7.8,6.5,7.6,8.3
747,14K561,Williamsburg Preparatory School,78,418,533,7.2,6.3,7,7.9
748,14K577,Conselyea Preparatory School,99,438,442,6.7,6,7.2,7.8
749,14K582,M.S. 582,97,297,306,6.3,6.2,6.7,7.7
750,14K586,Lyons Community School,74,391,530,6.9,6.6,7,7.6
751,14K610,Automotive High School,73,583,799,5.3,5.6,6.1,6.9
752,14K614,Young Women's Leadership School of Brooklyn,97,193,198,7.3,7.1,7.8,8.6
753,14K632,Frances Perkins Academy,92,132,144,7.1,7,7.2,7.4
754,14K685,El Puente Academy for Peace and Justice,77,151,196,7.8,6.4,7.2,7.7
755,14K923,Automotive High School Yabc,74,127,172,8.3,6.8,7.8,8.2
756,15K001,P.S. 001 The Bergen,,,0,,,,
757,15K010,"Magnet School of Math, Science and Design Technolo",,,0,,,,
758,15K015,P.S. 015 Patrick F. Daly,,,0,,,,
759,15K024,P.S. 024,,,0,,,,
760,15K027,Agnes Y. Humphrey School for Leadership,83,30,36,7,6.2,7.6,7.7
761,15K029,P.S. 029 John M. Harrigan,,,0,,,,
762,15K032,P.S. 032 Samuels Mills Sprole,,,0,,,,
763,15K038,P.S. 038 The Pacific,,,0,,,,
764,15K039,P.S. 039 Henry Bristow,,,0,,,,
765,15K051,M.S. 51 William Alexander,98,1053,1078,7.6,6.3,7.3,7.9
766,15K058,P.S. 058 The Carroll,,,0,,,,
767,15K088,J.H.S. 088 Peter Rouget,96,849,880,6.4,6.2,6.6,7.6
768,15K094,P.S. 094 The Henry Longfellow,,,0,,,,
769,15K107,P.S. 107 John W. Kimball,,,0,,,,
770,15K124,P.S. 124 Silas B. Dutcher,,,0,,,,
771,15K130,P.S. 130 The Parkside,,,0,,,,
772,15K131,P.S. 131 Brooklyn,,,0,,,,
773,15K136,I.S. 136 Charles O. Dewey,95,470,493,6.5,5.8,6.7,7.5
774,15K146,P.S. 146,,,0,,,,
775,15K154,Magnet School for Science & Technology,,,0,,,,
776,15K169,P.S. 169 Sunset Park,,,0,,,,
777,15K172,P.S. 172 Beacon School of Excellence,,,0,,,,
778,15K230,P.S. 230 Doris L. Cohen,,,0,,,,
779,15K261,P.S. 261 Philip Livingston,,,0,,,,
780,15K295,P.S. 295,,,0,,,,
781,15K321,P.S. 321 William Penn,,,0,,,,
782,15K418,The Children's School,,,0,,,,
783,15K429,Brooklyn School for Global Studies,56,231,410,6.1,5.5,5.9,7
784,15K442,New Horizons School,81,153,188,7,6.9,7.3,8
785,15K443,New Voices School of Academic & Creative Arts,97,470,484,7.8,7.3,7.8,8.4
786,15K447,The Math & Science Exploratory School,99,494,501,6.9,6.3,6.7,7.3
787,15K448,Brooklyn Secondary School for Collaborative Studi,88,595,677,6.7,6.4,7,7.6
788,15K462,Secondary School for Law,82,412,500,5.5,5.7,5.6,6.8
789,15K463,Secondary School for Journalism,78,285,367,5.8,5.7,6.1,7.3
790,15K464,Secondary School for Research,95,374,392,6.2,5.8,6.6,7.3
791,15K497,School for International Studies,88,400,454,6.7,6.1,6.6,7.5
792,15K519,Cobble Hill School of American Studies,65,413,639,5.6,5.7,5.7,6.7
793,15K520,Pacific High School,0,,154,,,,
794,15K529,West Brooklyn Community High School,89,171,192,8.3,7.6,8,8.4
795,15K530,Metropolitan Corporate Academy High School,67,184,275,6.8,6.1,6.5,7.2
796,15K656,Brooklyn High School of the Arts,86,558,648,6.6,5.8,6.6,7.5
797,15K667,SUNSET PARK HIGH SCHOOL,95,629,660,6.4,6.4,6.9,7.3
798,15K676,RED HOOK NEIGHBORHOOD SCHOOL,,,0,,,,
799,15K698,South Brooklyn Community High School,85,118,139,7.8,6.9,7.3,8.1
800,15K821,Sunset Park Prep,89,440,497,6.9,5.9,6.8,7.6
801,16K005,P.S. 005 Dr. Ronald Mcnair,,,0,,,,
802,16K021,P.S. 021 Crispus Attucks,,,0,,,,
803,16K025,P.S. 025 Eubie Blake School,,,0,,,,
804,16K026,P.S. 26 Jesse Owens School,,,0,,,,
805,16K028,P.S. 028 The Warren Prep Academy,,,0,,,,
806,16K035,M.S. 035 Stephen Decatur,98,220,224,8.1,8.1,8.7,9.1
807,16K040,P.S. 040 George W. Carver,,,0,,,,
808,16K057,J.H.S. 057 Whitelaw Reid,94,221,234,8,7.1,8.1,8.4
809,16K081,P.S. 081 Thaddeus Stevens,,,0,,,,
810,16K243,P.S. 243K- The Weeksville School,,,0,,,,
811,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,95,56,59,6.5,6.8,7.2,7.8
812,16K267,"M.S. 267 Math, Science & Technology",97,274,282,7.6,7.4,7.9,8.5
813,16K308,P.S. 308 Clara Cardwell,96,246,257,6.3,6.2,7,7.7
814,16K309,P.S. 309 The George E. Wibecan Preparatory Academy,,,0,,,,
815,16K335,P.S. 335 Granville T. Woods,,,0,,,,
816,16K385,"School of Business, Finance and Entrepreneurship",73,155,212,5.8,6,6.5,7.5
817,16K393,Frederick Douglass Academy IV Secondary School,81,372,460,6.1,5.5,6.6,7.3
818,16K455,Boys and Girls High School,61,1146,1881,6.1,6,6.7,7.2
819,16K498,ACORN High School for Social Justice,56,215,386,6.4,5.8,6.2,7.1
820,16K534,Upper School @ P.S. 25,85,185,218,5.9,5.9,6.4,7
821,16K584,M.S. 584,98,214,219,6,6.1,6.7,7.4
822,16K594,Gotham Professional Arts Academy,76,208,275,5.8,5.9,6.6,7.5
823,16K627,Brighter Choice Community School,,,0,,,,
824,16K628,Brooklyn Brownstone School,,,0,,,,
825,16K636,Young Scholars' Academy for Discovery and Explorat,,,0,,,,
826,16K688,The Brooklyn Academy of Global Finance,76,99,131,4.9,5.8,5.4,6.8
827,17K002,M.S. 002,96,374,390,7.8,7.8,8.4,8.7
828,17K006,P.S. 006,,,0,,,,
829,17K012,P.S. 012,,,0,,,,
830,17K022,P.S. 022,,,0,,,,
831,17K061,M.S. 061 Dr. Gladstone H. Atwell,87,966,1109,5.6,5.8,6.7,7.6
832,17K091,P.S. 091 The Albany Avenue School,,,0,,,,
833,17K092,P.S. 092 Adrian Hegeman,,,0,,,,
834,17K138,P.S. 138 Brooklyn,82,272,330,6.5,6.9,7.6,8.2
835,17K161,P.S. 161 The Crown,94,136,144,5.8,5.7,6.7,7.4
836,17K167,P.S. 167 The Parkway,,,0,,,,
837,17K181,P.S. 181 Brooklyn,82,221,268,5.5,5.8,6.7,7.5
838,17K189,P.S. 189 Lincoln Terrace,91,449,492,6.2,5.8,6.9,7.8
839,17K191,P.S. 191 Paul Robeson,,,0,,,,
840,17K221,P.S. 221 Toussaint L'Ouverture,,,0,,,,
841,17K241,P.S. 241 Emma L. Johnston,,,0,,,,
842,17K246,M.S. 246 Walt Whitman,91,540,595,5.6,5.7,6.4,7.3
843,17K249,P.S. 249 The Caton,,,0,,,,
844,17K289,P.S. 289 George V. Brower,,,0,,,,
845,17K316,P.S. 316 Elijah Stroud,,,0,,,,
846,17K334,Middle School for Academic and Social Excellence,88,197,224,5.8,6.5,6.9,7.7
847,17K340,I.S. 340,99,268,270,5.9,6,6.3,7.3
848,17K352,Ebbets Field Middle School,93,370,397,6,5.9,6.8,7.5
849,17K353,Elijah Stroud Middle School,96,132,138,6.2,6,6.7,7.5
850,17K354,The School of Integrated Learning,98,244,249,6.1,5.7,6.7,7.6
851,17K375,P.S. 375 Jackie-Robinson School,,,0,,,,
852,17K382,Academy for College Preparation and Career Explora,67,350,524,5.5,5.5,6,6.9
853,17K394,M.S. K394,98,227,232,7,6.6,7.6,8.2
854,17K397,P.S. 397 Foster-Laurie,,,0,,,,
855,17K398,P.S. 398 Walter Weaver,,,0,,,,
856,17K399,P.S. 399 Stanley Eugene Clark,,,0,,,,
857,17K408,Academy of Hospitality and Tourism,74,210,284,5.5,5.8,6.4,7.3
858,17K467,Erasmus Yabc,85,152,179,7.5,5.9,7,7.6
859,17K484,Ronald Edmonds Learning Center II,88,145,164,6.5,6.2,7.2,7.8
860,17K489,W.E.B. Dubois Academic High School,59,126,214,6.7,5.9,6.9,7.5
861,17K524,International High School at Prospect Heights,82,322,395,7.4,6.8,7.3,7.7
862,17K528,The High School for Global Citizenship,36,129,359,6.1,6,6.1,6.8
863,17K531,"School for Human Rights, The",95,351,368,6.8,6.5,7.2,7.8
864,17K533,School for Democracy and Leadership,83,340,412,5.6,5.9,6.3,7.2
865,17K537,High School for Youth and Community Development at,88,326,370,5.5,5.7,6,6.8
866,17K539,High School for Service & Learning at Erasmus,89,348,389,5.5,5.6,6.2,7.1
867,17K543,"Science, Technology and Research Early College Hig",95,474,497,6.6,5.9,6.7,7.4
868,17K544,International Arts Business School,83,355,426,5.4,5.5,5.8,6.6
869,17K546,High School for Public Service: Heroes of Tomorro,83,329,398,6.4,6,6.5,7.6
870,17K547,Brooklyn Academy of Science and the Environment,72,308,425,5.7,5.9,6.1,7
871,17K548,Brooklyn School for Music & Theatre,80,305,380,5.9,6.1,6.6,7.4
872,17K568,Brownsville Academy High School,64,96,151,8.5,7.5,8.5,8.9
873,17K587,Middle School for the Arts,83,303,364,5.3,5.8,6.6,7.1
874,17K590,Medgar Evers College Preparatory School,71,723,1023,5.7,5.3,6.2,7.3
875,17K600,Clara Barton High School,88,1455,1656,5.9,5.4,6,6.9
876,17K625,Paul Robeson High School,52,294,561,6.4,6,6.7,7.4
877,17K770,P.S. 770 New American Academy,,,0,,,,
878,18K066,P.S. 66,95,267,282,6.2,5.8,6.5,7.4
879,18K068,I.S. 068 Isaac Bildersee,90,818,904,5.4,5.4,6.1,7.3
880,18K114,P.S. 114 Ryder Elementary,,,0,,,,
881,18K115,P.S. 115 Daniel Mucatel School,,,0,,,,
882,18K135,P.S. 135 Sheldon A. Brookner,,,0,,,,
883,18K208,P.S. 208 Elsa Ebeling,,,0,,,,
884,18K211,I.S. 211 John Wilson,75,616,821,5.9,6,6.8,7.5
885,18K219,P.S. 219 Kennedy-King,,,0,,,,
886,18K233,P.S. 233 Langston Hughes,,,0,,,,
887,18K235,P.S. 235 Lenox School,98,278,283,6.7,5.9,6.7,7.8
888,18K244,P.S. 244 Richard R. Green,,,0,,,,
889,18K268,P.S. 268 Emma Lazarus,,,0,,,,
890,18K272,P.S. 272 Curtis Estabrook,,,0,,,,
891,18K276,P.S. 276 Louis Marshall,,,0,,,,
892,18K279,P.S. 279 Herman Schreiber,,,0,,,,
893,18K285,I.S. 285 Meyer Levin,92,846,921,5.6,5.3,6,7.3
894,18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,96,193,201,6.2,6.3,6.9,7.6
895,18K500,Canarsie High School,67,185,278,6.5,5.4,6.2,6.6
896,18K501,Learning To Work Yabc At Canarsie High School,53,86,161,7.7,6.4,7.4,7.8
897,18K563,It Takes a Village Academy,90,328,364,6.1,5.8,6.9,7.4
898,18K566,Brooklyn Generation School,77,224,292,6,5.7,5.9,6.8
899,18K567,Brooklyn Theatre Arts High School,92,300,326,5.8,6,6.4,7
900,18K569,Kurt Hahn Expeditionary Learning School,80,232,289,6.3,5.9,6.4,7
901,18K576,Victory Collegiate High School,76,245,322,6.6,6.3,6.7,7.6
902,18K578,Brooklyn Bridge Academy,38,79,210,7.1,7,7.3,7.9
903,18K581,East Flatbush Community Research School,87,201,231,5.6,6.2,6.6,7.3
904,18K588,Middle School for Art and Philosophy,84,284,337,5.2,5.8,6.2,7.1
905,18K589,Arts & Media Preparatory Academy,67,164,245,6.2,6.2,6.4,7.2
906,18K598,Middle School of Marketing and Legal Studies,81,263,325,6.6,6.6,7.3,8.3
907,18K617,High School for Innovation in Advertising and Medi,44,104,235,6.6,6.4,7,7.7
908,18K629,Cultural Academy for the Arts and Sciences,90,200,223,6,5.8,5.9,6.6
909,18K633,High School for Medical Professions,98,338,346,6.3,6.3,6.3,7.6
910,18K635,Olympus Academy,63,89,141,8,6.3,7.9,8.4
911,18K637,Academy for Conservation and the Environment,76,134,177,6.1,5.9,6,7.2
912,18K642,Urban Action Academy,70,175,251,6.1,5.9,6.6,7.2
913,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,59,110,187,7.8,7.3,7.7,8
914,18K922,South Shore Educational Complex Yabc,46,75,163,7.4,6.2,7.1,7.7
915,19K007,P.S. 007 Abraham Lincoln,,,0,,,,
916,19K013,P.S. 013 Roberto Clemente,,,0,,,,
917,19K065,P.S. 065,,,0,,,,
918,19K072,P.S./I.S. 072 Annette P Goldman,86,60,70,5.8,6.3,6,7.1
919,19K089,P.S. 089 Cypress Hills,96,76,79,7.1,6.2,7.1,7.8
920,19K108,P.S. 108 Sal Abbracciamento,,,0,,,,
921,19K149,P.S. 149 Danny Kaye,,,0,,,,
922,19K158,P.S. 158 Warwick,,,0,,,,
923,19K159,P.S. 159 Isaac Pitkin,,,0,,,,
924,19K166,J.H.S. 166 George Gershwin,91,448,491,5.9,6.1,7,7.4
925,19K171,I.S. 171 Abraham Lincoln,87,635,729,6.1,6.4,7,7.9
926,19K174,P.S. 174 Dumont,80,94,118,5.6,6,6,6.9
927,19K190,P.S. 190 Sheffield,,,0,,,,
928,19K202,P.S. 202 Ernest S. Jenkyns,90,220,245,5.5,5.9,6.6,7.2
929,19K213,P.S. 213 New Lots,,,0,,,,
930,19K214,P.S. 214 Michael Friedsam,,,0,,,,
931,19K218,J.H.S. 218 James P. Sinnott,81,466,573,5.4,5.6,6.4,7.3
932,19K224,P.S. 224 Hale A. Woodruff,100,70,70,7.4,8.1,8.3,8.9
933,19K260,P.S. 260 Breuckelen,92,33,36,7.1,7.5,8.1,8.3
934,19K273,P.S. 273 Wortman,,,0,,,,
935,19K290,P.S. 290 Juan Morel Campos,,,0,,,,
936,19K292,J.H.S. 292 Margaret S. Douglas,80,574,720,6,5.8,6.8,7.7
937,19K302,J.H.S. 302 Rafael Cordero,89,856,957,5.9,6,6.7,7.4
938,19K306,P.S. 306 Ethan Allen,98,190,194,5.3,6,6.5,7.2
939,19K311,Essence School,91,194,214,5.3,5.7,6.1,7.1
940,19K328,P.S. 328 Phyllis Wheatley,85,127,150,6.2,6.2,7.1,7.5
941,19K345,P.S. 345 Patrolman Robert Bolden,,,0,,,,
942,19K346,P.S. 346 Abe Stark,,,0,,,,
943,19K364,I.S. 364 Gateway,95,378,396,5.7,5.8,6.1,7.3
944,19K409,East New York Family Academy,79,330,416,6.7,6.2,6.7,7.5
945,19K420,Franklin K. Lane High School,64,228,355,6.3,5.5,6.4,7.1
946,19K431,Thomas Jefferson Yabc,58,111,192,8.8,7.6,8.6,8.7
947,19K452,Frederick Douglass Academy VIII Middle School,96,204,212,7.6,7,7.9,8.4
948,19K502,FDNY High School for Fire and Life Safety,73,270,371,5.4,5.4,5.7,6.8
949,19K504,High School for Civil Rights,69,273,395,6.4,6.1,6.8,7.5
950,19K507,Performing Arts and Technology High School,71,278,394,6.5,6,7.1,7.7
951,19K510,World Academy for Total Community Health High Scho,71,265,371,5.3,5.7,5.6,6.9
952,19K583,Multicultural High School,90,360,402,7.1,5.9,7,7.4
953,19K615,Transit Tech Career and Technical Education High S,51,713,1389,5.3,5.4,5.9,6.7
954,19K618,Academy of Innovative Technology,49,139,285,6.4,6.2,7,7.5
955,19K639,Brooklyn Lab School,70,210,301,5.6,5.8,5.8,6.5
956,19K659,Cypress Hills Collegiate Preparatory School,73,293,399,6.6,6.6,7,7.4
957,19K660,W. H. Maxwell Career and Technical Education High,56,385,688,5.8,5.7,6,6.8
958,19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,,,0,,,,
959,19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,100,139,139,7.8,8,8.4,8.7
960,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, W",98,227,232,6.7,6.2,6.9,7
961,19K751,ACADEMY FOR HEALTH CAREERS,88,72,82,5.8,5.9,6.3,7
962,20K030,I.S. 30 Mary White Ovington,96,328,340,6.6,6.1,6.7,7.4
963,20K048,P.S. 048 Mapleton,,,0,,,,
964,20K062,J.H.S. 062 Ditmas,97,1171,1209,7,6.3,7.1,7.8
965,20K069,P.S. 69 Vincent D. Grippo School,,,0,,,,
966,20K102,P.S. 102 The Bayview,,,0,,,,
967,20K104,P.S./I.S. 104 The Fort Hamilton School,100,434,436,7,7.2,7.6,8.4
968,20K105,P.S. 105 The Blythebourne,,,0,,,,
969,20K112,P.S. 112 Lefferts Park,,,0,,,,
970,20K127,P.S. 127 Mckinley Park,,,0,,,,
971,20K160,P.S. 160 William T. Sampson,,,0,,,,
972,20K163,P.S. 163 Bath Beach,98,47,48,8.4,6.8,8,8.3
973,20K164,P.S. 164 Caesar Rodney,,,0,,,,
974,20K170,Ralph A. Fabrizio School,,,0,,,,
975,20K176,P.S. 176 Ovington,,,0,,,,
976,20K179,P.S. 179 Kensington,,,0,,,,
977,20K180,The SEEALL Academy,99,450,456,7.2,6.4,7.3,7.8
978,20K185,P.S. 185 Walter Kassenbrock,,,0,,,,
979,20K186,P.S. 186 Dr. Irving A Gladstone,,,0,,,,
980,20K187,The Christa McAuliffe School\I.S. 187,100,991,992,7.8,6.1,7.5,8
981,20K192,P.S. 192 - The Magnet School for Math and Science,96,213,223,7.4,7.2,7.6,8.2
982,20K200,P.S. 200 Benson School,,,0,,,,
983,20K201,J.H.S. 201 The Dyker Heights,96,1439,1492,6.8,5.5,6.8,7.5
984,20K204,P.S. 204 Vince Lombardi,,,0,,,,
985,20K205,P.S. 205 Clarion,,,0,,,,
986,20K220,J.H.S. 220 John J. Pershing,94,1177,1257,6.5,5.5,6.4,7.1
987,20K223,J.H.S. 223 The Montauk,96,576,602,7,6,7.1,7.8
988,20K227,J.H.S. 227 Edward B. Shallow,95,1252,1321,6.4,5.3,6.4,7.1
989,20K229,P.S. 229 Dyker,93,115,123,5.9,5.8,5.7,6.3
990,20K247,P.S. 247 Brooklyn,,,0,,,,
991,20K259,J.H.S. 259 William Mckinley,96,1347,1409,7.6,6.9,7.9,8.5
992,20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,,,0,,,,
993,20K310,P.S. 310,,,0,,,,
994,20K445,New Utrecht High School,14,419,3091,7,6.3,7.1,7.5
995,20K485,High School of Telecommunication Arts and Technol,80,1001,1256,7,6.3,6.8,7.6
996,20K490,Fort Hamilton High School,62,2589,4201,7.1,6.3,7,7.6
997,20K503,PS 503: The School of Discovery,,,0,,,,
998,20K505,Franklin Delano Roosevelt High School,81,2545,3138,6.8,5.6,6.5,7.1
999,20K506,P.S. 506: The School of Journalism & Technology,,,0,,,,
1000,20K609,Urban Assembly School for Criminal Justice,85,247,290,7.7,7.2,7.8,8.4
1001,20K658,Franklin Delano Roosevelt YABC,89,222,250,7.6,6.5,7.4,7.7
1002,20K682,THE ACADEMY OF TALENTED SCHOLARS,,,0,,,,
1003,20K686,BROOKLYN SCHOOL OF INQUIRY,,,0,,,,
1004,20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,,,0,,,,
1005,20K971,P.S. 971,,,0,,,,
1006,21K090,P.S. 90 Edna Cohen School,,,0,,,,
1007,21K095,P.S. 095 The Gravesend,99,179,180,6.3,5.7,6.4,7.2
1008,21K096,I.S. 096 Seth Low,96,805,842,6.6,6.3,7,7.7
1009,21K097,P.S. 97 The Highlawn,,,0,,,,
1010,21K098,I.S. 98 Bay Academy,99,1191,1204,7,6.4,7.1,7.8
1011,21K099,P.S. 099 Isaac Asimov,94,222,235,7.2,7.5,7.8,8
1012,21K100,P.S. 100 The Coney Island School,,,0,,,,
1013,21K101,P.S. 101 The Verrazano,,,0,,,,
1014,21K121,P.S. 121 Nelson A. Rockefeller,100,56,56,7.6,6.7,7.6,8.1
1015,21K128,P.S. 128 Bensonhurst,,,0,,,,
1016,21K153,P.S. 153 Homecrest,,,0,,,,
1017,21K177,P.S. 177 The Marlboro,,,0,,,,
1018,21K188,P.S. 188 Michael E. Berdy,,,0,,,,
1019,21K199,P.S. 199 Frederick Wachtel,,,0,,,,
1020,21K209,P.S. 209 Margaret Mead,100,198,198,6.6,6.1,6.9,7.7
1021,21K212,P.S. 212 Lady Deborah Moody,,,0,,,,
1022,21K215,P.S. 215 Morris H. Weiss,,,0,,,,
1023,21K216,P.S. 216 Arturo Toscanini,,,0,,,,
1024,21K225,P.S. K225 - The Eileen E. Zaglin,92,260,282,8,7,8,8.3
1025,21K226,P.S. 226 Alfred De B.Mason,99,261,264,7.3,6.6,7.5,7.9
1026,21K228,I.S. 228 David A. Boody,99,793,804,6.7,5.9,6.8,7.6
1027,21K238,P.S. 238 Anne Sullivan,97,158,163,7.8,7.7,8.2,8.8
1028,21K239,Mark Twain I.S. 239 for the Gifted & Talented,94,1247,1326,7.8,6.4,7.7,8
1029,21K253,P.S. 253,,,0,,,,
1030,21K281,I.S. 281 Joseph B Cavallaro,96,1228,1278,6.8,5.9,6.8,7.6
1031,21K288,P.S. 288 The Shirley Tanyhill,97,145,149,6,6.3,6.8,7.4
1032,21K303,I.S. 303 Herbert S. Eisenberg,98,697,712,7.8,7.4,8.2,8.7
1033,21K329,P.S. 329 Surfside,,,0,,,,
1034,21K337,International High School at Lafayette,94,306,324,7.6,7,7.1,7.8
1035,21K344,Rachel Carson High School for Coastal Studies,90,403,449,6.3,6.1,6.1,7.1
1036,21K348,High School of Sports Management,75,238,319,6,6.4,6.9,7.6
1037,21K410,Abraham Lincoln High School,76,1861,2443,6,5.8,6.2,7
1038,21K411,Abraham Lincoln Yabc,69,140,203,7.2,6.2,6.9,6.9
1039,21K468,Kingsborough Early College School,97,383,394,6.4,6.3,6.5,7.2
1040,21K525,Edward R. Murrow High School,89,3436,3860,7,6,6.8,7.3
1041,21K540,John Dewey High School,75,1879,2499,6.4,5.6,6.5,7
1042,21K559,Life Academy High School for Film and Music,47,98,210,6.2,6.4,6.4,7
1043,21K572,Expeditionary Learning School for Community Leader,70,135,192,6.4,5.9,6.1,6.8
1044,21K620,William E. Grady Career and Technical Education Hi,65,700,1076,5.5,5.5,6.2,6.9
1045,21K690,Brooklyn Studio Secondary School,94,797,850,6.5,5.9,6.7,7.1
1046,21K728,Liberation Diploma Plus,73,121,165,7.7,6.3,7.3,7.8
1047,22K014,J.H.S. 014 Shell Bank,92,584,635,6.3,5.7,6.7,7.5
1048,22K052,P.S. 052 Sheepshead Bay,,,0,,,,
1049,22K078,J.H.S. 078 Roy H. Mann,95,1043,1098,5.4,5.4,6,7.2
1050,22K109,P.S. 109,96,240,250,5.4,5.9,6.6,7.4
1051,22K119,P.S. 119 Amersfort,,,0,,,,
1052,22K134,P.S. K134,,,0,,,,
1053,22K139,P.S. 139 Alexine A. Fenty,,,0,,,,
1054,22K152,School of Science & Technology,,,0,,,,
1055,22K193,P.S. 193 Gil Hodges,,,0,,,,
1056,22K194,P.S. 194 Raoul Wallenberg,,,0,,,,
1057,22K195,P.S. 195 Manhattan Beach,,,0,,,,
1058,22K197,P.S. 197 Brooklyn,,,0,,,,
1059,22K198,P.S. 198 Brooklyn,,,0,,,,
1060,22K203,P.S. 203 Floyd Bennett,,,0,,,,
1061,22K206,P.S. 206 Joseph F Lamb,99,341,345,7,6,7.1,7.7
1062,22K207,P.S. 207 Elizabeth G. Leary,97,324,334,6.8,6.7,7.3,8
1063,22K217,P.S. 217 Colonel David Marcus School,,,0,,,,
1064,22K222,P.S. 222 Katherine R. Snyder,,,0,,,,
1065,22K234,J.H.S. 234 Arthur W. Cunningham,98,1796,1836,6.9,6.3,7.3,8
1066,22K236,P.S. 236 Mill Basin,,,0,,,,
1067,22K240,Andries Hudde,95,1018,1069,4.5,5.1,5.4,6.9
1068,22K245,P.S. 245,,,0,,,,
1069,22K251,P.S. 251 Paerdegat,,,0,,,,
1070,22K254,P.S. 254 Dag Hammarskjold,,,0,,,,
1071,22K255,P.S. 255 Barbara Reing School,,,0,,,,
1072,22K269,P.S. 269 Nostrand,,,0,,,,
1073,22K277,P.S. 277 Gerritsen Beach,,,0,,,,
1074,22K278,J.H.S. 278 Marine Park,94,919,978,6.6,6.5,7.1,8.1
1075,22K312,P.S. 312 Bergen Beach,,,0,,,,
1076,22K315,P.S. K315,,,0,,,,
1077,22K326,P.S. 326,,,0,,,,
1078,22K361,P.S. 361 East Flatbush Early Childhood School,,,0,,,,
1079,22K381,I. S. 381,93,383,411,5.4,5,5.3,6.8
1080,22K405,Midwood High School,85,3330,3921,6.5,5.4,6.2,7.1
1081,22K425,James Madison High School,86,2681,3117,6.5,6,6.7,7.3
1082,22K495,Sheepshead Bay High School,88,1759,1988,5.7,5.5,6.4,6.9
1083,22K535,Leon M. Goldstein High School for the Sciences,92,933,1015,7.6,6.3,7.1,7.6
1084,22K555,Brooklyn College Academy,98,605,616,7.5,6.5,7.1,8
1085,23K041,P.S. 041 Francis White,93,206,222,5.3,6.2,6.8,7.5
1086,23K073,P.S. 073 Thomas S. Boyland,89,124,139,6.4,5.9,6.8,7.6
1087,23K137,P.S./I.S. 137 Rachel Jean Mitchell,97,84,87,5.6,6.3,6.8,7.1
1088,23K150,P.S. 150 Christopher,98,44,45,6.6,6.5,7.3,7.6
1089,23K155,P.S./ I.S. 155 Nicholas Herkimer,97,184,189,6.2,6.2,7.3,7.7
1090,23K156,P.S. 156 Waverly,,,0,,,,
1091,23K165,P.S. 165 Ida Posner,90,147,163,6.3,6.6,7.4,7.8
1092,23K178,P.S. 178 Saint Clair Mckelway,93,177,190,5.5,6.2,7,7.5
1093,23K184,P.S. 184 Newport,83,141,169,6.4,6.3,6.8,7.6
1094,23K284,P.S. 284 Lew Wallace,95,168,176,6.7,6.5,7.3,7.7
1095,23K298,P.S. 298 Dr. Betty Shabazz,86,166,194,4.8,5.7,6,7.1
1096,23K323,P.S./I.S. 323,97,184,190,7.4,7.4,8.2,8.4
1097,23K327,P.S. 327 Dr. Rose B. English,93,199,214,5.6,5.6,6.5,7.4
1098,23K332,P.S. 332 Charles H. Houston,89,87,98,5.7,6,6.3,7.2
1099,23K392,I.S. 392,88,242,274,6.9,6.4,7.1,8.1
1100,23K493,Brooklyn Collegiate: A College Board School,81,469,580,6.1,5.8,6.6,7.4
1101,23K514,Frederick Douglass Academy VII High School,81,300,372,6.2,6.1,6.7,7.5
1102,23K518,Kappa V,97,252,261,5.7,5.7,6.3,7.3
1103,23K522,Mott Hall IV,100,255,255,6.4,6,6.7,7.5
1104,23K631,General D. Chappie James Elementary School of Science,,,0,,,,
1105,23K634,General D. Chappie James Middle School of Science,96,182,190,6.3,6.8,7.2,7.6
1106,23K643,Brooklyn Democracy Academy,64,116,182,7.9,6.9,7.7,8.3
1107,23K644,Eagle Academy for Young Men II,81,167,205,7.6,6.9,8.4,8.8
1108,23K645,EBC/ENY High School for Public Safety & Law,55,36,65,6.9,5.8,6.3,6.8
1109,23K646,Aspirations Diploma Plus High School,52,108,209,7.3,6.4,7.2,7.7
1110,23K647,Metropolitan Diploma Plus High School,77,151,196,7.4,7,7.5,8.1
1111,23K671,MOTT HALL BRIDGES MIDDLE SCHOOL,90,38,42,7.6,7.3,7.7,8.3
1112,23K697,Teachers Preparatory High School,90,492,549,6.4,6.3,7,7.8
